state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
Washington,WA,7797095,31404,30094,304,4240,,58,0,B,1310,4240,,,,31404,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,30707,7977,239,3393,89,,21953,A+,777,3393,,,,27743,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2817,662,32,,10,4,2062,B,93,,,,,2723,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,1417,340,5,112,,,1057,B,20,112,42402,1229,41172,1121,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,854,319,11,,,1,521,A,14,,105581,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,35083,15298,655,2697,,,18866,B,919,2697,,,,34605,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,18740,5707,284,1337,,63,12784,A,249,1337,,,,18740,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,70051,59813,2577,4595,657,433,8659,A+,1579,4595,494337,,,69641,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,206433,200561,5790,,1562,,0,B,5872,,3862310,,,206433,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,31796,25693,226,5392,,,4430,A,1673,5392,,,,28972,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,46206,33842,106,10268,,,8053,B,4311,10268,427567,,,44225,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,10216,8474,136,,43,26,1194,A+,548,,,,,10216,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,11091,3919,83,,15,,6665,A+,507,,,,,10047,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,132545,129056,,14432,,,0,A,3489,14432,2186400,171768,2010839,132545,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,74985,72209,1178,10689,,,0,A,2776,10689,789813,68568,721245,74985,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,866,144,,109,,,705,D,17,109,86464,866,85598,866,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,28012,9841,131,,40,22,17467,A+,704,,,,,28012,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,5148,1231,,309,,,3827,A,90,309,83537,,,4629,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,142130,135056,1516,,400,225,0,A,7074,,1521189,,,141077,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,44575,8234,595,6982,257,82,33725,A+,2616,6982,,,,44575,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,13538,12495,,1128,,,779,A,264,1128,,,,13538,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,14859,10576,387,2589,74,,3730,B,553,2589,,,,14401,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,54769,11787,700,,,73,39792,B,3190,,,,,54769,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,108443,100402,769,11310,143,90,0,A+,8041,11310,1036832,,,103376,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,66450,58358,478,10751,181,,4935,A,3157,10751,623927,,,66450,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,3154,484,24,345,7,5,2566,A,104,345,91587,3848,87604,2809,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,69679,12427,557,,193,106,51099,A+,6153,,1017855,86713,931142,63009,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,35033,3180,300,3986,155,,30401,A,1452,3986,568907,,,35033,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,20261,19265,680,,,66,0,B,996,,424214,23527,399926,20261,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,25531,7254,731,3078,169,90,17242,A,1035,3078,277158,,,25368,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,852,226,9,95,,,604,C,22,95,,,,852,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,60537,22304,888,,,,36921,A,1312,,,,,60537,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,3458,252,23,225,,,3119,D,87,225,173999,,,3458,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,18524,5560,125,1312,,,12698,B,266,1312,,,,18524,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,5671,925,32,561,,,4381,B,365,561,,,,5671,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,170873,125958,1103,19823,236,200,29967,A+,14948,19823,,,,170873,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,11408,5770,128,1828,,,5149,B,489,1828,,,,11408,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,16339,15155,503,,117,66,684,A+,500,,301815,,,16339,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,391923,297083,908,89995,230,167,70010,A,24830,89995,,,,391923,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,49455,46651,561,7624,190,106,0,B,2804,7624,,,,45969,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,12642,3103,329,1440,134,,9155,A+,384,1440,327683,13941,313021,12642,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,7818,4967,149,1022,53,35,2649,A+,202,1022,,,,7521,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,84370,11983,651,,,126,65808,A+,6579,,,,,81956,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,16661,14134,91,1984,16,15,1600,A+,927,1984,,,,16661,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,31939,17772,908,2622,,,13456,A,711,2622,351075,40970,310105,31850,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,6626,818,73,645,,,5717,B,91,645,,,,6626,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,40172,13429,484,2564,,,26159,B,584,2564,748229,46468,701761,39848,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,143371,62757,5523,,,,78248,B,2366,,1722826,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,20628,8803,287,1365,77,,11658,A+,167,1365,,,,20628,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,61247,51555,819,8787,234,103,7968,A+,1724,8787,615290,,,58611,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,1200,198,14,,,,946,B,56,,,,,1200,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,30855,29551,305,4194,,50,0,B,1304,4194,,,,30855,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,30227,7844,249,3382,93,,21606,A+,777,3382,,,,27286,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2761,626,33,,10,4,2042,B,93,,,,,2699,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,1392,318,5,111,,,1054,B,20,111,42402,1229,41172,1097,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,836,303,12,,,2,519,A,14,,101792,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,34183,14410,658,2653,,,18866,B,907,2653,,,,33717,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,18062,5695,284,1300,,61,12127,A,240,1300,,,,18740,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,66548,56624,2110,4514,581,312,8389,A+,1535,4514,479330,,,66055,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,200461,194649,5639,,1570,,0,B,5812,,3771314,,,200461,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,31479,25398,247,5386,,,4412,A,1669,5386,,,,28674,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,46059,33699,127,10268,,,8053,B,4307,10268,414889,,,44086,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,10185,8453,147,,48,29,1186,A+,546,,,,,10185,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,11017,3849,78,,,,6661,A,507,,,,,9972,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,122960,119496,,14281,,,0,A,3464,14281,2107048,159793,1943604,122960,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,72995,70225,1184,10605,,,0,A,2770,10605,771028,66510,704518,72995,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,850,137,,109,,,696,D,17,109,84910,850,84060,850,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,27686,9669,141,,42,24,17313,A+,704,,,,,27686,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,4865,1063,,303,,,3712,A,90,303,81871,,,4366,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,141344,134296,1516,,400,225,0,A,7048,,1490952,,,140291,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,44140,8149,692,6944,281,94,33396,A+,2595,6944,,,,44140,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,13538,12495,,1128,,,779,A,264,1128,,,,13538,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,14859,10576,387,2589,74,,3730,B,553,2589,,,,14401,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,54769,11787,700,,,73,39792,B,3190,,,,,54769,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,108070,100057,791,11291,156,99,0,A+,8013,11291,1020867,,,103071,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,66115,58070,487,10725,190,,4903,A,3142,10725,613513,,,66115,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,3102,457,28,343,9,6,2542,A,103,343,89510,3787,85592,2758,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,69329,13905,557,,193,106,49290,A+,6134,,998490,86113,912377,62695,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,34616,3162,335,3966,157,,30008,A,1446,3966,557278,,,34616,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,19914,18924,600,,,66,0,B,990,,424214,23527,399926,19914,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,25066,6802,769,3044,153,90,17242,A,1022,3044,271734,,,24906,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,829,218,14,95,,,589,C,22,95,,,,829,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,58818,20594,892,,,,36921,A,1303,,,,,58818,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,3421,244,23,222,,,3090,D,87,222,169838,,,3421,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,18346,5772,126,1294,,,12314,B,260,1294,,,,18346,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,5671,925,32,561,,,4381,B,365,561,,,,5671,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,170584,125815,1118,19752,234,206,29855,A+,14914,19752,,,,170584,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,11192,5660,135,1811,,,5047,B,485,1811,,,,11192,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,15240,14058,471,,118,59,684,A+,498,,297635,,,15240,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,391220,296396,951,89995,244,167,70010,A,24814,89995,,,,391220,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,48638,45850,624,7570,205,116,0,B,2788,7570,,,,45172,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,12343,3149,308,1393,126,,8817,A+,377,1393,312454,13338,298434,12343,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,7818,4967,149,1022,53,35,2649,A+,202,1022,,,,7521,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,84370,11983,661,,,131,65808,A+,6579,,,,,81956,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,16661,14134,91,1984,16,15,1600,A+,927,1984,,,,16661,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,30335,16185,906,2622,,,13456,A,694,2622,334198,37673,296525,30263,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,6535,795,79,639,,,5652,B,88,639,,,,6535,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,39444,13114,484,2498,,,25753,B,577,2498,741737,45734,696003,39149,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,137624,59018,5102,,,,76282,B,2324,,1697334,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,20050,8787,238,1321,80,,11097,A+,166,1321,,,,20050,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,60570,51002,854,8722,219,99,7868,A+,1700,8722,603870,,,57977,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,1198,201,14,,,,941,B,56,,,,,1198,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,30367,29067,272,4106,,49,0,B,1300,4106,,,,30367,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,29668,7728,262,3351,95,,21174,A+,766,3351,,,,26747,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2712,713,33,,10,4,1907,B,92,,,,,2622,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,1368,315,5,112,,,1033,B,20,112,42402,1229,41172,1079,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,816,291,14,,,2,513,A,12,,99452,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,33206,13444,693,2612,,,18866,B,896,2612,,,,32753,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,18062,5695,284,1245,,61,12127,A,240,1245,,,,18062,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,63030,53401,2453,4406,611,415,8139,A+,1490,4406,463800,,,62634,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,195571,189838,5522,,1523,,0,B,5733,,3694345,,,195571,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,31155,25096,247,5375,,,4392,A,1667,5375,,,,28374,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,45994,33643,122,10268,,,8053,B,4298,10268,406967,,,44018,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,10159,8434,157,,53,34,1182,A+,543,,,,,10159,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,10980,3827,93,,,,6646,A,507,,,,,9925,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,114018,110595,,14068,,,0,A,3423,14068,2037374,148081,1885749,114018,0,0,0,0,0,,2.6,57181.761
