state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
Wisconsin,WI,5851754,22599,19266,526,2791,124,,13337,A+,633,2791,,,,20249,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2119,2023,27,,11,3,1445,B,84,,,,,2054,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,933,904,4,90,,,755,C,17,90,27400,849,26550,721,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,513,494,13,,,1,376,A,10,,60097,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,19072,18198,,1929,,,11395,B,653,1929,,,,18766,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,8067,7925,138,757,,30,5717,A,142,757,,,,8067,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,22753,21373,1079,3642,375,223,5172,A+,996,3642,249755,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,119807,115385,4455,,1279,,0,B,4422,,2182671,,,119807,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,27060,25552,356,4443,,,4014,A,1494,4443,,,,24557,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,43239,39102,373,9669,,,7284,B,4007,9669,279457,,,41171,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,9120,8543,276,,98,73,1138,A+,475,,,,,9120,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,9746,9337,142,,,,5562,A,483,,,,,9746,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,60183,57492,,10923,,,0,A,2691,10923,1292876,81817,1208362,60183,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,49847,47700,807,8557,,,0,A,2147,8557,496331,44479,451852,49847,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,653,636,,83,,,612,D,17,83,57942,653,57289,653,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,20805,19726,310,,105,70,12333,A+,580,,,,,20805,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2990,2850,,253,,,2311,A,83,253,49524,,,2709,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,124759,119023,3044,,853,516,0,A,5736,,982016,,,,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,36096,33505,979,5999,372,144,23707,A+,2231,5999,,,,36096,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,10170,9866,,890,,,592,A,222,890,,,,9987,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,10705,9960,518,2332,67,,3303,B,458,2332,,,,10479,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,41562,38263,613,,,82,31728,B,2883,,,,,41562,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,102063,94862,1637,10238,401,249,0,A+,7201,10238,,,,98376,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,55858,52341,1096,9217,456,,3985,B,2668,9217,392240,,,55858,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,2446,2323,35,291,14,7,1739,B,95,291,56799,2940,53755,2181,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,64616,52465,617,,321,205,38099,A+,5901,,707130,79223,627907,59001,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,28290,24773,512,3253,244,,21490,A,1126,3253,322148,,,26273,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,14057,13271,599,,,82,0,B,786,,183650,14498,168871,13774,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,16560,15540,633,2340,145,97,11203,A,794,2340,184335,,,16447,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,539,508,1,68,,,467,C,17,68,,,,539,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,31966,30277,659,,,,18860,A,960,,,,,31966,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,2706,2613,32,175,,,2209,D,69,175,104888,,,2706,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,14866,14715,211,902,,,7005,D,187,902,,,,14866,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,4795,4530,88,468,,,3157,B,265,468,,,,4795,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,162530,150188,1982,17604,537,459,27231,A+,11970,17604,,,,162530,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,8140,7765,170,1416,,,3013,C,375,1416,,,,8140,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,9090,8520,364,,79,47,512,A+,460,,185648,,,9090,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,375133,344066,2849,89995,832,613,66756,A,24133,89995,,,,375133,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,37282,34943,693,6312,267,181,0,B,2339,6312,,,,34639,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,6907,6464,148,1014,63,,5781,A+,344,1014,213142,7802,204815,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,4474,4240,124,812,40,13,2199,A+,159,812,,,,4350,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,74560,72038,1174,,,268,51019,A+,5817,,,,,71881,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,15325,14477,185,1765,42,29,1326,A+,756,1765,,,,15325,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,13005,11914,453,1789,,,6976,A+,525,1789,238808,20962,217846,13005,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,5247,5100,86,464,,,4163,B,64,464,,,,5247,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,25120,24445,,1855,,,16643,B,401,1855,,,,25120,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,69920,67133,1796,,,,46799,B,1767,,1038555,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,10813,10380,164,850,,,6628,B,117,850,,,,10813,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,47856,45477,1266,7550,321,171,6284,A+,1445,7550,351354,,,45620,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,1026,935,13,,,,881,B,55,,,,,1026,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,24677,23542,272,3578,,94,0,B,1135,3578,,,,24124,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,22193,18784,551,2739,117,,12980,A+,626,2739,,,,19892,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2092,1999,28,,11,2,1399,B,78,,,,,,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,915,898,4,87,,,714,C,17,87,26777,826,25016,703,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,505,476,11,,,0,373,A,10,,58182,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,18851,18113,,1900,,,11395,B,653,1900,,,,18554,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,8067,7682,132,731,,31,5717,A,142,731,,,,8067,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,22233,20321,1092,3589,379,239,5076,A+,981,3589,244525,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,117687,113326,4458,,1313,,0,B,4361,,2131294,,,117687,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,26788,25300,388,4419,,,3983,A,1474,4419,,,,24311,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,43091,39007,406,13793,,,7511,B,3989,13793,274396,,,41051,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,9016,8416,285,,103,72,1138,A+,473,,,,,9016,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,9712,9312,153,,,,5493,A,475,,,,,9712,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,58764,56114,,10796,,,0,B,2650,10796,1259176,79855,1176653,58764,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,48894,46771,815,8419,,,0,B,2123,8419,482712,43637,439075,48894,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,653,636,,83,,,609,D,17,83,56569,653,55916,653,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,20055,19458,314,,116,76,12064,A+,574,,,,,20055,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2933,2850,,251,,,2282,A,83,251,48669,,,2660,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,123830,118209,3173,,844,508,0,A,5621,,959175,,,,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,35712,33040,1017,5952,358,138,23182,A+,2207,5952,,,,35712,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,10170,9743,,890,,,592,A,222,890,,,,9987,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,10410,9743,488,2317,68,,3283,B,450,2317,,,,10192,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,41133,37911,617,,,86,31728,B,2870,,,,,41133,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,101592,94440,1684,10151,393,263,0,A+,7152,10151,,,,97964,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,54982,51578,1109,9111,471,,3970,B,2666,9111,380716,,,54982,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,2418,2283,44,285,14,10,1699,B,95,285,55237,2903,52234,2903,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,64382,52178,646,,328,224,38099,A+,5884,,692016,78843,613173,58878,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,27889,24426,537,3203,254,,21169,A,1097,3203,311208,,,25870,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,13767,12981,571,,,70,0,B,786,,183650,14498,168871,13767,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,16322,15274,602,2340,141,96,11203,A,782,2340,184335,,,15910,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,525,506,1,68,,,464,C,17,68,,,,525,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,30777,29062,684,,,,18860,A,939,,,,,30777,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,2679,2581,34,172,,,2169,C,69,172,101327,,,2679,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,14611,14446,194,851,,,6743,C,181,851,,,,14611,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,4749,4493,97,462,,,3071,B,256,462,,,,4749,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,162068,149774,2250,17390,612,459,27008,A+,11880,17390,,,,162068,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,8024,7657,182,1416,,,2960,C,367,1416,,,,8024,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,8935,8441,372,,84,47,501,A+,455,,180008,,,8935,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,374085,343072,2978,89995,865,638,66502,A,24079,89995,,,,374085,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,36792,34493,704,6251,283,198,0,B,2299,6251,,,,34208,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,6805,6353,136,1003,59,,5711,A+,341,1003,209286,7716,201247,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,4399,4178,112,800,27,10,2199,A+,159,800,,,,4280,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,74022,71558,1164,,,269,49915,A+,5741,,,,,71361,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,15219,14380,189,1753,44,30,1311,A+,742,1753,,,,15219,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,12651,11914,433,1789,,,6976,A+,518,1789,230687,20413,210274,12651,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,5162,5005,87,456,,,4084,B,62,456,,,,5162,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,24822,23961,,1829,,,16319,B,388,1829,,,,24822,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,68271,65594,1487,,,,45858,B,1734,,1006768,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,10497,10089,150,829,,,6501,B,117,829,,,,10497,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,46905,44832,1311,7476,313,185,6165,A+,1428,7476,340197,,,44715,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,990,933,10,,,,879,B,55,,,,,990,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,24385,23256,263,3543,,89,0,B,1129,3543,,,,23812,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,21661,18310,556,2700,130,,12172,A+,616,2700,,,,19400,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2071,1978,34,,13,4,1381,B,78,,,,,,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,915,895,4,87,,,714,C,17,87,26416,826,25016,703,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,487,456,10,,,0,371,A,10,,56203,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,18642,17984,,1879,,,9355,B,651,1879,,,,18354,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,7443,7310,121,718,,26,5401,A,133,718,,,,7443,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,21250,19211,1009,3520,380,235,4967,A+,941,3520,237833,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,115310,111024,4393,,1286,,0,B,4286,,2071591,,,115310,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,26577,25105,394,4372,,,3954,A,1458,4372,,,,24109,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,42979,38770,434,13793,,,7511,B,3972,13793,268572,,,40941,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,8886,8389,295,,106,74,1137,A+,470,,,,,8886,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,9685,9237,157,,,,5442,A,471,,,,,9685,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,57447,54834,,10678,,,0,A,2613,10678,1210100,77387,1130070,57447,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,48207,46105,828,8334,,,0,A,2102,8334,474287,43178,431109,48207,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,652,635,,83,,,608,D,17,83,55719,652,55067,652,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,20016,19144,327,,114,76,11742,A+,561,,,,,20016,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2906,2757,,247,,,2266,A,83,247,47870,,,2643,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,122848,117323,3238,,874,548,0,A,5525,,934704,,,,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,35237,32687,961,5902,358,140,22623,A+,2197,5902,,,,35237,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,10011,9703,,862,,,555,A,217,862,,,,9838,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,10185,9607,481,2307,85,,3275,A,442,2307,,,,9970,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,40746,37540,639,,,83,31728,B,2835,,,,,40746,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,101163,94078,1657,10063,394,269,0,A+,7085,10063,,,,97539,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,54175,50775,1148,8957,481,,3855,B,2646,8957,366331,,,54175,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,2377,2260,48,287,16,10,1646,B,94,287,53536,2848,50591,2118,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,64103,52016,674,,346,240,38099,A+,5869,,675320,78248,597072,58760,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,27376,24148,537,3134,248,,20381,A,1082,3134,295307,,,25508,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,13575,12792,693,,,81,0,B,783,,183650,14498,168871,13306,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,16020,15013,584,2296,146,97,11203,A,767,2296,179388,,,15910,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,523,502,1,67,,,462,C,17,67,,,,523,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,29889,28644,716,,,,18860,A,921,,,,,29889,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,2646,2564,34,170,,,2127,C,68,170,98717,,,2646,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,14345,14167,,,,,0,D,178,,,,,14345,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,4685,4440,98,456,,,2954,B,245,456,,,,4685,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,161545,149195,2370,17390,639,480,26815,A+,11770,17390,,,,161545,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,7800,7438,191,1317,,,2888,C,362,1317,,,,7800,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,8830,8285,365,,88,39,464,A+,452,,176032,,,8830,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,373040,341794,3121,89861,907,673,66262,A,24023,89861,,,,373040,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,36350,34092,697,6176,295,204,0,B,2258,6176,,,,33892,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,6692,6239,124,994,60,,5599,A+,339,994,206116,7628,197965,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,4335,4148,102,795,29,15,2164,A+,157,795,,,,4220,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,73510,71079,1302,,,283,48838,A+,5667,,,,,70864,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,15112,14271,188,1743,48,31,1302,A+,732,1743,,,,15112,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,12415,11648,425,1789,,,6976,A,501,1789,225047,18685,206362,12415,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,5067,4972,89,443,,,3990,B,62,443,,,,5067,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,24375,22202,,1792,,,15916,B,381,1792,,,,24375,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,66568,63910,1773,,,,44517,B,1698,,986224,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,10202,9886,159,801,,,6319,B,113,801,,,,10202,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,46239,44006,1362,7373,336,186,6011,A+,1407,7373,328889,,,44069,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,988,928,10,,,,879,B,55,,,,,988,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,24086,22962,232,3517,,48,0,B,1124,3517,,,,23463,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,21155,17948,597,2643,139,,12172,A+,607,2643,,,,18917,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2041,1952,31,,11,4,1341,B,77,,,,,,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,910,893,7,86,,,667,C,17,86,25532,817,24714,700,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,467,449,10,,,1,368,A,10,,54190,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,18363,17322,,1856,,,9355,B,646,1856,,,,18075,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,7443,7120,115,711,,27,5401,A,133,711,,,,7443,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,20123,19029,968,3445,377,238,4869,A+,917,3445,228070,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,113006,108755,4258,,1273,,0,B,4251,,2012583,,,113006,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,26378,24919,414,4347,,,3919,A,1445,4347,,,,23949,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,42740,38257,454,13793,,,7511,B,3964,13793,259320,,,40670,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,8857,8335,302,,108,67,1126,A+,468,,,,,8857,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,9605,9132,159,,,,5353,A,471,,,,,9605,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,56830,54287,,10494,,,0,A,2543,10494,1210100,77387,1130070,56830,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,47618,45544,841,8127,,,0,A,2074,8127,471631,,,47618,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,652,635,,83,,,608,D,17,83,55336,652,54684,652,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,19697,19017,339,,125,73,11440,A+,551,,,,,19697,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2839,2757,,242,,,2248,A,82,242,46436,,,2578,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,121234,115822,3215,,902,547,0,A,5412,,918273,,,,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,34830,32440,1041,5860,366,148,22224,A+,2142,5860,,,,34830,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,10011,9485,,842,,,547,A,217,842,,,,10011,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,10046,9273,457,2274,90,,3232,A,439,2274,,,,9853,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,40341,37125,661,,,86,31728,B,2801,,,,,40341,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,100805,93770,1747,9952,404,289,0,A,7035,9952,,,,97291,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,53327,50246,1174,8886,479,,3782,B,2625,8886,357545,,,53327,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,2349,2236,52,284,17,10,1586,B,89,284,50078,2710,47284,2093,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,63813,51906,674,,346,240,38099,A+,5843,,659153,77729,581424,58594,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,26897,23800,549,3086,253,,19441,A,1060,3086,287636,,,25208,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,13327,12554,693,,,78,0,B,773,,183650,14498,168871,13327,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,15752,14789,584,2296,146,97,11203,A,739,2296,176254,,,15752,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,519,498,2,67,,,461,C,17,67,,,,519,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,29263,27848,650,,,,18860,A,898,,,,,29263,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,2625,2516,35,169,,,2078,C,61,169,97111,,,2625,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,14101,13931,,,,,0,D,170,,,,,14101,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,4651,4406,96,451,,,2948,B,245,451,,,,4651,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,160918,148747,2466,17222,646,459,26703,A+,11721,17222,,,,160918,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,7689,7333,182,1317,,,2853,C,356,1317,,,,7689,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,8688,8211,361,,87,40,459,A+,445,,169813,,,8688,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,371711,340986,3331,89703,999,746,66110,A,23959,89703,,,,371711,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,35984,33778,761,6112,324,223,0,B,2206,6112,,,,33501,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,6573,6084,154,986,65,,5511,A+,334,986,194496,7291,186700,,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,4302,4090,108,790,32,17,2164,A+,154,790,,,,4192,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,72898,70574,1302,,,287,48428,A+,5567,,,,,70278,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,14991,14210,195,1724,46,29,1281,A+,720,1724,,,,14991,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,12148,11367,450,1634,,,6459,A,500,1634,210826,18286,192540,12148,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,5034,4931,87,435,,,3903,B,62,435,,,,5034,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,23554,22202,,1767,,,15564,B,367,1767,,,,23554,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,64880,62977,1756,,,,43338,B,1678,,970031,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,9999,9684,134,789,,,6251,B,113,789,,,,9999,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,45398,43232,1371,7326,347,188,5899,A+,1392,7326,322568,,,43247,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,983,926,16,,,,880,B,55,,,,,983,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,23798,22680,245,3501,,52,0,B,1118,3501,,,,23069,0,0,0,0,0,,1.7,13255.0615
Wisconsin,WI,5851754,20736,17811,613,2603,136,,11838,A+,595,2603,,,,18543,0,0,0,0,0,,2.1,12288.6834
West Virginia,WV,1778070,2017,1935,31,,11,4,1313,B,75,,,,,,0,0,0,0,0,,3.8,6756.666
Wyoming,WY,567025,910,887,8,86,,,667,C,17,86,24937,788,22402,700,0,0,0,0,0,,3.5,1984.5875
Alaska,AK,734002,434,423,14,,,2,368,A,10,,51695,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,17903,16741,,1844,,,9355,B,631,1844,,,,17614,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,7253,6880,115,711,,27,5275,A,133,711,,,,7253,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,19936,18354,973,3379,376,239,4761,A+,906,3379,225206,,,,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,110583,106370,4331,,1324,,0,B,4213,,1944848,,,110583,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,26098,24641,414,4333,,,3919,A,1443,4333,,,,23667,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,42201,38110,481,12538,,,7127,B,3944,12538,250046,,,42201,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,8801,8255,295,,109,66,1116,A+,466,,,,,8801,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,9498,9061,160,,,,5266,A,468,,,,,9498,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,56163,53629,,10453,,,0,A,2534,10453,1155650,75508,1077549,56163,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,46986,44944,853,7946,,,0,A,2042,7946,465525,,,46986,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,651,634,,83,,,606,D,17,83,54620,651,53969,651,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,19552,18713,341,,116,70,11147,A+,534,,,,,19552,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,2839,2721,,242,,,2248,A,82,242,46436,,,2578,0,0,0,0,0,,1.9,3469.6964
