,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
17,2020-10-19,Kentucky,KY,4499692,88247.0,69692.0,13104.0,totalTestsViral,764.0,6616.0,190.0,,17229.0,B,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1326.0,6616.0,1698815.0,,,75143.0,1310.0,16.0,,,81180.0,,,,,,,,39338.0,,0,0,0,0,0,,3.2,14399.0144
18,2020-10-19,Louisiana,LA,4645184,179070.0,11512.0,3088.0,posNeg,553.0,,,64.0,161792.0,A,10/19/2020 13:00,2020-10-19T13:00:00Z,10/19 09:00,5766.0,,,,,175982.0,5566.0,200.0,,2594376.0,,,,,,,,,,,0,0,0,0,0,,3.3,15329.1072
19,2020-10-19,Massachusetts,MA,6976597,144488.0,15843.0,3014.0,totalTestsViral,500.0,13009.0,86.0,33.0,118892.0,A+,10/19/2020 08:00,2020-10-19T08:00:00Z,10/19 04:00,9753.0,13009.0,5239651.0,184514.0,,141474.0,9532.0,221.0,,2532287.0,,,,124340.0,,,162655.0,,,,0,0,0,0,0,,2.3,16046.173099999998
20,2020-10-19,Maryland,MD,6083116,136154.0,124221.0,,totalTestsViral,434.0,16475.0,116.0,,7892.0,A,10/19/2020 10:00,2020-10-19T10:00:00Z,10/19 06:00,4041.0,16475.0,3103833.0,163872.0,,136154.0,3895.0,146.0,,1816722.0,,,,142054.0,12794.0,129260.0,,,,,0,0,0,0,0,,1.9,11557.920399999999
21,2020-10-19,Maine,ME,1345790,5962.0,641.0,639.0,posNeg,8.0,469.0,0.0,0.0,5175.0,A+,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,146.0,469.0,548838.0,6630.0,541884.0,5323.0,145.0,1.0,,,10379.0,345.0,10022.0,,,,,,,,0,0,0,0,0,,2.5,3364.475
22,2020-10-19,Michigan,MI,10045029,164123.0,47221.0,16317.0,posNeg,1050.0,,267.0,95.0,109539.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,7363.0,,4372735.0,201234.0,4171501.0,147806.0,7031.0,332.0,,,315661.0,,,,,,,,,,0,0,0,0,0,,2.5,25112.572500000002
23,2020-10-19,Minnesota,MN,5700671,124439.0,12237.0,304.0,totalTestEncountersViral,532.0,8916.0,138.0,,109963.0,A,10/18/2020 17:00,2020-10-18T17:00:00Z,10/18 13:00,2239.0,8916.0,,,,124135.0,2229.0,10.0,2511395.0,1694265.0,,,,,,,,,20603.0,,0,0,0,0,0,,2.5,14251.677500000002
24,2020-10-19,Missouri,MO,6169270,158101.0,155511.0,,totalTestsViral,1439.0,,,,0.0,B,10/19/2020 00:59,2020-10-19T00:59:00Z,10/18 20:59,2590.0,,2296674.0,181463.0,2110912.0,158101.0,,,,1393100.0,84652.0,4953.0,79502.0,68919.0,3618.0,71709.0,14224.0,,25263.0,5104.0,0,0,0,0,0,,3.1,19124.737
25,2020-10-19,Mississippi,MS,2989260,110592.0,9746.0,11645.0,posNeg,653.0,6380.0,151.0,70.0,97675.0,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,3171.0,6380.0,827497.0,,,98947.0,2879.0,292.0,,,41053.0,95.0,,,,,,,72982.0,,0,0,0,0,0,,4.0,11957.04
26,2020-10-19,Montana,MT,1086759,23390.0,9611.0,,posNeg,339.0,1020.0,,,13538.0,C,10/19/2020 01:59,2020-10-19T01:59:00Z,10/18 21:59,241.0,1020.0,442366.0,,,23390.0,,,,,,,,,,,,,,,0,0,0,0,0,,3.3,3586.3046999999997
